state,x,y
Andaman & Nicobar Islands,295.0,-259.0
Andhra Pradesh,-84.0,-206.0
Arunachal Pradesh,326.0,217.0
Assam,280.0,151.0
Bihar,83.0,121.0
West Bengal,200.0,78.0
Uttarakhand,-91.0,263.0
Uttar Pradesh,-55.0,164.0
Tamil Nadu,-118.0,-307.0
Telangana,-106.0,-111.0
Tripura,242.0,64.0
Sikkim,158.0,189.0
Rajasthan,-281.0,153.0
Punjab,-198.0,278.0
Pondicherry,-81.0,-281.0
Orissa,71.0,-38.0
Nagaland,332.0,142.0
Mizoram,284.0,38.0
Meghalaya,238.0,118.0
Manipur,314.0,99.0
Maharashtra,-259.0,-63.0
Madhya Pradesh,-143.0,44.0
Lakshadweep,-297.0,-365.0
Kerala,-168.0,-334.0
Jharkhand,60.0,66.0
Jammu,-228.0,363.0
Kashmir,-235.0,445.0
Karnataka,-198.0,-212.0
Ladakh,-108.0,372.0
Himachal Pradesh,-145.0,311.0
Haryana,-176.0,238.0
Gujarat,-325.0,29.0
Goa,-239.0,-181.0
Delhi,-149.0,211.0
Chhattisgarh,-16.0,-4.0
Chandigarh,-156.0,274.0